Year,Low Recruitment,Recruitment,High Recruitment,Low SSB,SSB,High SSB,Catches,Low F,F,High F,N20 Age 0,GERAS_N20_comp,GERAS Age 1
1991,3862967,5022943,6531238,238967,294077,361896,191573,0.32,0.44,0.6,,,
1992,2880796,3630255,4574690,245962,300530,367206,194408,0.39,0.51,0.65,1060,,
1993,2369000,3060821,3954675,233802,284750,346799,185010,0.45,0.57,0.74,3044,,491.88
1994,3526940,4514044,5777413,185793,225900,274666,172439,0.47,0.6,0.77,12515,3044,415.73
1995,3323087,4196456,5299361,158677,193972,237118,150820,0.46,0.6,0.79,7930,12515,1675.34
1996,3327521,4185013,5263477,110267,133192,160884,121260,0.51,0.66,0.84,21012,7930,1439.46
1997,2725647,3489204,4466663,121995,147001,177132,115585,0.5,0.64,0.81,4872,21012,1955.4
1998,3631603,4590581,5802791,99253,118707,141973,107033,0.48,0.62,0.79,16743,4872,801.35
1999,3901140,4901369,6158050,99572,119183,142657,97234,0.41,0.53,0.68,20364,16743,1338.71
2000,2385673,2993894,3757179,103364,123386,147287,118277,0.46,0.57,0.72,3026,20364,1429.88
2001,2222439,2757400,3421131,114973,136051,160994,105803,0.48,0.6,0.76,4845,,
2002,2202127,2740576,3410681,135316,159982,189145,106189,0.39,0.49,0.62,11324,4845,837.56
2003,2370559,2956361,3686924,108886,129160,153209,78310,0.36,0.45,0.57,5507,11324,1238.48
2004,1654831,2064667,2576004,112816,133609,158235,76814,0.39,0.5,0.63,5640,5507,968.86
2005,1420549,1769476,2204110,102745,121380,143394,88404,0.42,0.53,0.66,3887,5640,750.2
2006,1086272,1361515,1706499,112128,133027,157821,88931,0.38,0.48,0.6,3774,3887,940.89
2007,1135240,1421277,1779384,91526,109135,130132,68180,0.43,0.53,0.67,1829,3774,558.85
2008,936407,1169516,1460655,75015,89005,105604,69576,0.46,0.57,0.72,1622,1829,392.74
2009,922140,1148604,1430684,67504,79609,93885,67261,0.41,0.52,0.67,6464,1622,270.96
2010,1193680,1487230,1852970,62977,74031,87026,42214,0.32,0.41,0.52,7037,6464,534.63
2011,1095129,1359643,1688048,58786,69532,82242,27771,0.25,0.32,0.41,4444,7037,1206.76
2012,946166,1179901,1471377,61555,72538,85482,38648,0.29,0.38,0.49,1140,4444,755.03
2013,1275657,1685120,2226013,68786,80985,95348,43829,0.31,0.4,0.52,3021,1140,893.84
2014,909546,1156414,1470288,70353,83868,99980,37358,0.27,0.35,0.45,539,3021,769.32
2015,737352,940624,1199933,70660,84718,101573,37491,0.33,0.43,0.54,2478,539,440.74
2016,688624,900718,1178135,66987,80484,96701,51298,0.38,0.48,0.62,442,2478,493.37
2017,718431,969757,1309003,61120,73684,88832,46340,0.38,0.5,0.67,1247,442,463.94
2018,561813,810280,1168633,49773,62561,78634,41058,0.35,0.48,0.66,1563,1247,428.53
2019,423391,676518,1080977,43056,57841,77703,25420,0.2,0.29,0.41,1317,1563,247.87
2020,295053,582158,1148633,41725,58434,81834,22130,0.12,0.19,0.3,239,1317,185.81
